SpecID	Species	R01_Britain	R02_SwedenNorway	R03_FinlandBaltic	R04_France	R05_Central_Europe	R06_Eastern_Europe	R07_Iberian_peninsula	R08_Italy	R09_BalkanBulgariaRomania	R10_Greece	R11_Southern_Russia	R12_Kazakhstan	R13_Caucasus	Rex	SumRegions	RemarksDistribution
S02310	Parasteropleurus martorellii	-	-	-	-	-	-	x	-	-	-	-	-	-	-	1	.
S02320	Parasteropleurus perezi	-	-	-	-	-	-	x	-	-	-	-	-	-	-	1	.
S02330	Platystolus martinezii	-	-	-	-	-	-	x	-	-	-	-	-	-	-	1	.
S02340	Platystolus surcularius	-	-	-	-	-	-	x	-	-	-	-	-	-	-	1	.
S02350	Praephippigera pachygaster	-	-	-	-	-	-	-	x	-	-	-	-	-	x	2	.
S02360	Sabaterpia hispanica	-	-	-	-	-	-	x	-	-	-	-	-	-	-	1	.
S02370	Sabaterpia paulinoi	-	-	-	-	-	-	x	-	-	-	-	-	-	-	1	.
S02380	Sabaterpia taeniata	-	-	-	-	-	-	x	-	-	-	-	-	-	x	2	.
S02390	Sorapagus catalaunicus	-	-	-	x	-	-	x	-	-	-	-	-	-	-	2	.
S02400	Steropleurus andalusius	-	-	-	-	-	-	x	-	-	-	-	-	-	-	1	.
S02410	Steropleurus brunneri	-	-	-	-	-	-	x	-	-	-	-	-	-	-	1	.
S02420	Steropleurus castellanus	-	-	-	-	-	-	x	-	-	-	-	-	-	-	1	.
S02430	Steropleurus flavovittatus	-	-	-	-	-	-	x	-	-	-	-	-	-	-	1	.
S02440	Steropleurus obsoletus	-	-	-	-	-	-	x	-	-	-	-	-	-	-	1	.
S02450	Steropleurus pseudolus	-	-	-	-	-	-	x	-	-	-	-	-	-	-	1	.
S02460	Steropleurus recticarinatus	-	-	-	-	-	-	x	-	-	-	-	-	-	-	1	.
S02470	Synephippius obvius	-	-	-	-	-	-	x	-	-	-	-	-	-	-	1	.
S02480	Uromenus agarenus	-	-	-	-	-	-	x	-	-	-	-	-	-	x	2	.
