SpecID	Suborder	Superfamily	Family	Subfamily	Tribe	Genus	Subgenus	Species	Synonyms	AlternativeGenus	Subspecies	RemarksTaxonomy
S01210	Ensifera	Rhaphidophoroidea	Rhaphidophoridae	Dolichopodainae	Dolichopodaini	Dolichopoda	Dolichopoda (Dolichopoda)	Dolichopoda (Dolichopoda) bakolitsasi	.	.	.	.
S01220	Ensifera	Rhaphidophoroidea	Rhaphidophoridae	Dolichopodainae	Dolichopodaini	Dolichopoda	Dolichopoda (Dolichopoda)	Dolichopoda (Dolichopoda) calidnae	.	.	.	.
S01230	Ensifera	Rhaphidophoroidea	Rhaphidophoridae	Dolichopodainae	Dolichopodaini	Dolichopoda	Dolichopoda (Dolichopoda)	Dolichopoda (Dolichopoda) capreensis	.	.	.	.
S01240	Ensifera	Rhaphidophoroidea	Rhaphidophoridae	Dolichopodainae	Dolichopodaini	Dolichopoda	Dolichopoda (Dolichopoda)	Dolichopoda (Dolichopoda) chopardi	.	.	.	.
S01250	Ensifera	Rhaphidophoroidea	Rhaphidophoridae	Dolichopodainae	Dolichopodaini	Dolichopoda	Dolichopoda (Dolichopoda)	Dolichopoda (Dolichopoda) christosnifoni	.	.	.	.
S01260	Ensifera	Rhaphidophoroidea	Rhaphidophoridae	Dolichopodainae	Dolichopodaini	Dolichopoda	Dolichopoda (Dolichopoda)	Dolichopoda (Dolichopoda) dalensi	.	.	.	.
S01270	Ensifera	Rhaphidophoroidea	Rhaphidophoridae	Dolichopodainae	Dolichopodaini	Dolichopoda	Dolichopoda (Dolichopoda)	Dolichopoda (Dolichopoda) euxina	.	.	.	.
S01280	Ensifera	Rhaphidophoroidea	Rhaphidophoridae	Dolichopodainae	Dolichopodaini	Dolichopoda	Dolichopoda (Dolichopoda)	Dolichopoda (Dolichopoda) gasparoi	.	.	.	.
S01290	Ensifera	Rhaphidophoroidea	Rhaphidophoridae	Dolichopodainae	Dolichopodaini	Dolichopoda	Dolichopoda (Dolichopoda)	Dolichopoda (Dolichopoda) geniculata	.	.	.	.
S01300	Ensifera	Rhaphidophoroidea	Rhaphidophoridae	Dolichopodainae	Dolichopodaini	Dolichopoda	Dolichopoda (Dolichopoda)	Dolichopoda (Dolichopoda) giachinoi	.	.	.	.
S01310	Ensifera	Rhaphidophoroidea	Rhaphidophoridae	Dolichopodainae	Dolichopodaini	Dolichopoda	Dolichopoda (Dolichopoda)	Dolichopoda (Dolichopoda) giulianae	.	.	.	.
